stop_internal_id,stop_code,stop_name,lat,lon,line_internal_ids
3272732,FRATHOEF,FRAYSER @THOMAS,35.2166999967535,-90.03003200466203,111251|111238
3271556,FRATREEN,FRAYSER @TREZERANT,35.21977199939142,-89.9788899951773,111251|111238
3271667,FRATREWF,FRAYSER @TREZEVANT,35.21979999431757,-89.97926699533558,111251|111238
3273129,FRAUNIEN,FRAYSER @UNIVERSITY,35.21705500179485,-89.98992799921331,111238
3269977,FRAUNIWF,FRAYSER @UNIVERSITY,35.21723399657528,-89.9904150050475,111251|111255|111238
3272124,FRAWARWN,FRAYSER @WARFORD,35.22148400337366,-89.9627570015626,111251|111238
3273132,FRAWATEF,FRAYSER @WATKINS,35.21743799904507,-90.00291099645915,111238
3271419,FRAWATEN,FRAYSER @WATKINS,35.21750999652916,-90.00379800267079,111251|111255|111238
3270831,FRAWATWN,FRAYSER @WATKINS,35.217607999604176,-90.00287799479943,111251|111255|111238
3270885,FRAWESEF,FRAYSER @WESTLINE,35.22343399861597,-89.94687699533621,111238
3269783,FRAWESWN,FRAYSER @WESTLINE DR,35.22358200144434,-89.9467919950022,111238
3271591,FRAWINEN,FRAYSER @WINDERMERE,35.22304400131873,-89.94149300193563,111238
3271767,FRAWINWN,FRAYSER @WINDERMERE,35.223175001310956,-89.9409170045638,111238
3272606,FRARANEM,FRAYSER atRANGE LINE,35.220753996462236,-89.97642899926723,111251|111238
3271733,FRAWOOWN,FRAYSER at WOODROW,35.217243998206314,-89.99218699508403,111251|111255|111238
3271890,FRAWATWF,FRAYSER BLVD @WATKINS ST,35.217653001611694,-90.00404099612248,111255|111238
3273280,FRAOVEEF,FRAYSER PLAZA,35.217020997597565,-89.9923209976113,111238
3272895,FRAOVEWF,FRAYSER PLAZA,35.217353003359285,-89.99431400042438,111251|111255|111238
3269903,FRYREDEN,FRAYSER RALEIGH @REDCOAT RD,35.22105299697163,-89.96051900507732,111251
3271401,FRAREDWN,FRAYSER RD @REDCOAT,35.22221400082889,-89.96009600330862,111251|111238
3270548,SUMFREWF,FREEMAN ST @SUMMER AVE,35.14945099502134,-89.93933599508432,111258
3270334,FRICHAWM,FRISCO @CHARJEAN,35.08937699955154,-89.98105700263474,111251|111247
3270333,FRICHAWN,FRISCO @CHARJEAN,35.09030900139211,-89.98279000512174,111251|111247
3269827,FRIIMOEN,FRISCO @IMOGENE,35.088672995909754,-89.9799629975195,111251|111247
3271726,FRIIMOWF,FRISCO @IMOGENE,35.08885900046383,-89.98009599853035,111251|111247
3270190,FRILABEF,FRISCO @LABELLE,35.08676499817696,-89.97413700419355,111251|111247
3271727,FRILABWF,FRISCO @LABELLE,35.087131995888384,-89.97451199803982,111251|111247
3270359,FRIPENWF,FRISCO @PENDLETON,35.085537996361964,-89.97114100332277,111251|111247
3269636,FROADASM,FRONT @ADAMS,35.148502997029745,-90.0529249958543,111248|111237|111236|111239|111254|111256|111243|111245|111260|111247|111246
3271212,FROGEPNM,FRONT @FARMERS MARKET,35.13175700031819,-90.06072999915378,111239
3269637,FROPOPSN,FRONT @POPLAR,35.15062099801923,-90.05218299599545,111248|111237|111236|111252|111239|111254|111256|111243|111245|111260|111247|111246
3272735,FROGEPSF,FRONT ST @G E PATTERSON ,35.13264999515552,-90.06087400002983,111236|111239|111254|111243
3271049,FROJEFSN,FRONT ST AT JEF,35.14742200077725,-90.05335700321612,111248|111237|111236|111252|111239|111254|111256|111243|111245|111260|111247|111246
3271208,GEPFOUWN,GEPATTERSON @FOURTH,35.13268600107298,-90.0500259994711,111236|111239|111254|111243|111247
3272193,GEPHEREN,GEPATTERSON @HERNANDO,35.132619000209246,-90.0521319964421,111236|111239|111254|111243|111247
3272252,GEPMAIWF,GE PATTERSON @MAIN (Central ,35.13288299538808,-90.05942400502325,111248|111236|111239|111254|111243|111260|111247
3273283,GEPMAIEN,GE PATTERSON @MAIN ST,35.13274899688173,-90.05942399945066,111248|111236|111239|111254|111243|111260|111247
3272194,GEPTHIEM,GEPATTERSON @THIRD,35.13264100065226,-90.0547539974051,111236|111239|111254|111241|111243|111247
3270877,GEPTHIWM,GEPATTERSON @THIRD,35.132783999118736,-90.05395700159964,111236|111239|111254|111243
3272275,GERGIANF,GERMANTOWN @GIACOSA,35.199427001839055,-89.792026994276,111250|111240
3272711,GERROCSF,GERMANTOWN @ROCK CREEK,35.19145799671685,-89.79272000059751,111240
3272274,GERWOLNF,GERMANTOWN @WOLFCREEK PKWY,35.20254600302769,-89.79192699755906,111250|111240
3272730,GERBELNN,GERMANTOWN PKWY @BELLEVUE PKWY,35.185148998180104,-89.79260999942608,111240
3272126,GERDEXNF,GERMANTOWN PKWY @DEXTER RD,35.174371997288624,-89.7927820054485,111240
3271053,GERDEXSN,GERMANTOWN PKWY @DEXTER RD,35.17497100111895,-89.7931669946077,111240
3271930,GERCHINF,GERMANTOWN PKY @CHIMNEY ROCK,35.182486002188455,-89.79260899980378,111240
3270942,GERGIASN,GERMANTOWN PKY @GIACOSA,35.199812997590016,-89.79245700030525,111250|111240
3271931,GERMARSN,GERMANTOWN PKY @IKEA WAY,35.188822002936895,-89.79279600311027,111240
3272276,GERVARNF,GERMANTOWN PKY @VARNAVAS,35.18872300312472,-89.79243100096647,111240
3270943,GERWOLSN,GERMANTOWN PKY @WOLFCREEK PKY,35.20228800235509,-89.79233800257697,111250|111240
3270601,GERWOOSF,GERMANTOWN PKY @WOODCHASE,35.17753599963946,-89.79315799625354,111240
3272937,GETARNNN,GETWELL @ARNOLD,35.02759000229619,-89.9368790038364,111248|111241|111242
3272220,GETARNSM,GETWELL @ARNOLD,35.02876599843999,-89.9371310018605,111248|111241|111242
3271703,GETARRNF,GETWELL @ARROWHEAD,35.07218200198092,-89.93183699765571,111248|111252|111259|111242|111244
3272222,GETCR1SM,GETWELL @CROWFARN,35.03172299818213,-89.93719399652291,111241|111242
3272221,GETCR2SM,GETWELL @CROWFARN,35.030551001063095,-89.93717900439606,111248|111241|111242
